"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"335",2021-01-29,133.153846153846,130.67032967033,72.6593406593407,191.923076923077,39.4065934065934,236.090909090909,259.103896103896,136.545454545455,383.818181818182,81.8961038961039,363.225609756098,412.146341463415,212.865853658537,601.884146341463,127.658536585366,553.69099756691,633.574209245742,336.995133819951,953.727493917275,198.172749391728
"336",2021-01-30,133.725274725275,131.78021978022,73.3076923076923,191.571428571429,39.8241758241758,236.714285714286,259.896103896104,136.545454545455,384.675324675325,81.7272727272727,363.457317073171,410.719512195122,213.44512195122,601.463414634146,128.006097560976,552.841849148419,629.632603406326,336.525547445255,950.243309002433,197.153284671533
"337",2021-01-31,135.076923076923,133.472527472528,74.4065934065934,193.56043956044,39.6813186813186,236.402597402597,260.61038961039,138.12987012987,385.311688311688,81.0909090909091,363.237804878049,409.341463414634,213.890243902439,604.335365853658,127.353658536585,551.416058394161,624.484184914842,335.922141119221,945.574209245742,195.958637469586
"338",2021-02-01,135.516483516484,133.813186813187,74.7582417582418,193.736263736264,39.6153846153846,235.961038961039,260.077922077922,138.61038961039,385.25974025974,81.4805194805194,363.317073170732,407.237804878049,214.09756097561,603.384146341463,126.810975609756,548.951338199513,618.104622871046,334.498783454988,939.469586374696,194.496350364964
"339",2021-02-02,135.736263736264,134.362637362637,75.3406593406593,194.384615384615,40.1098901098901,235.922077922078,259.181818181818,138.441558441558,383.753246753247,81.8051948051948,363.439024390244,406.05487804878,214.341463414634,601.932926829268,126.15243902439,545.613138686131,611.664233576642,332.450121654501,933.07299270073,192.299270072993
"340",2021-02-03,136.615384615385,135.186813186813,75.6043956043956,195.835164835165,39.8791208791208,236.155844155844,257.441558441558,139.220779220779,382.246753246753,81.4545454545454,361.94512195122,404.457317073171,214.768292682927,599.993902439024,125.884146341463,540.537712895377,603.722627737226,329.408759124088,924.603406326034,190.126520681265
"341",2021-02-04,137.703296703297,135.307692307692,76.0989010989011,196.868131868132,40.0989010989011,235.090909090909,256.428571428571,138.714285714286,380.077922077922,81.4415584415584,360.512195121951,402.006097560976,214.469512195122,597.884146341463,124.80487804878,536.394160583942,595.240875912409,326.104622871046,915.16301703163,187.547445255474
"342",2021-02-05,137.791208791209,134.813186813187,75.7252747252747,196.835164835165,40.2747252747252,234.324675324675,255.116883116883,138.636363636364,377.649350649351,80.8701298701298,360.371951219512,400.359756097561,214.365853658537,596.957317073171,124.426829268293,531.01703163017,585.642335766423,323.199513381995,903.968369829684,184.849148418492
"343",2021-02-06,137.813186813187,134.879120879121,75.956043956044,197.505494505494,40.3956043956044,233.363636363636,252.25974025974,139.051948051948,374.831168831169,80.6753246753246,359.731707317073,397.878048780488,214.292682926829,596.201219512195,123.951219512195,523.642335766423,575.625304136253,319.997566909976,892.328467153285,181.890510948905
"344",2021-02-07,138.175824175824,135.373626373626,76.2637362637363,198.813186813187,40.5494505494505,233.987012987013,249.935064935065,138.25974025974,372.597402597403,79.5064935064935,358.90243902439,395.341463414634,214.34756097561,594.695121951219,123.396341463415,517.323600973236,565.440389294404,316.194647201946,879.39902676399,178.29197080292
"345",2021-02-08,139.527472527473,136.10989010989,76.9120879120879,199.263736263736,40.2747252747252,232.493506493506,247.233766233766,137.623376623377,368.025974025974,79.1818181818181,357.768292682927,392.737804878049,213.878048780488,593.286585365854,122.957317073171,510.518248175182,553.992700729927,311.995133819951,865.807785888078,174.759124087591
"346",2021-02-09,140.758241758242,136.087912087912,77.4945054945055,200.450549450549,40.3516483516483,231.25974025974,244.480519480519,136.493506493507,365.545454545455,77.5714285714285,357.024390243902,390.30487804878,212.689024390244,589.80487804878,121.823170731707,502.664233576642,542.742092457421,307.69099756691,852.479318734793,171.070559610706
"347",2021-02-10,141.131868131868,136.912087912088,77.8131868131868,200.153846153846,40.6043956043956,229.38961038961,243.025974025974,135.519480519481,362.51948051948,76.5454545454545,354.756097560976,388.115853658537,211.810975609756,586.237804878049,121.280487804878,494.07299270073,530.661800486618,303.652068126521,838.783454987835,167.182481751825
"348",2021-02-11,141.989010989011,138.186813186813,78.4285714285714,201.615384615385,41.1208791208791,227.311688311688,241.038961038961,134.155844155844,359.298701298701,76.064935064935,352.518292682927,384.225609756098,210.591463414634,582.55487804878,120.939024390244,486.048661800487,519.189781021898,299.411192214112,823.588807785888,163.228710462287
"349",2021-02-12,142.351648351648,138.450549450549,78.6373626373627,202.10989010989,41.2747252747252,225.285714285714,238.493506493506,133.246753246753,356.116883116883,75.2857142857142,350.262195121951,380.103658536585,209.103658536585,578.09756097561,119.439024390244,477.829683698297,507.907542579075,294.588807785888,808.956204379562,159.554744525547
"350",2021-02-13,142.131868131868,139.604395604396,78.7142857142857,201.769230769231,41.5384615384615,224.220779220779,236.051948051948,132.181818181818,353.415584415584,74.8441558441558,347.40243902439,373.609756097561,206.94512195122,572.182926829268,117.939024390244,469.357664233577,496.265206812652,289.260340632603,793.418491484185,156.289537712895
"351",2021-02-14,141.351648351648,140.230769230769,79.3406593406594,202.472527472527,41.1978021978022,221.714285714286,233.558441558442,130.38961038961,351.831168831169,74.051948051948,344.475609756098,367.908536585366,204.268292682927,566.207317073171,116.939024390244,460.613138686131,484.43795620438,284.114355231144,778.501216545012,152.136253041363
"352",2021-02-15,141.56043956044,139.714285714286,79.2527472527473,201.835164835165,41.6043956043956,219.571428571429,230.714285714286,128.948051948052,349.064935064935,73.3766233766233,340.951219512195,361.94512195122,201.853658536585,559.609756097561,115.091463414634,451.888077858881,472.265206812652,278.868613138686,762.262773722628,148.67396593674
"353",2021-02-16,141.637362637363,139,79.2527472527473,201.10989010989,41.6593406593406,217.116883116883,228.753246753247,128.493506493507,345.441558441558,72.4285714285714,337.329268292683,356.34756097561,199.024390243902,551.579268292683,113.219512195122,442.815085158151,459.807785888078,273.914841849148,745.892944038929,144.858880778589
"354",2021-02-17,141.835164835165,138.263736263736,79.4945054945055,200.571428571429,41.6263736263736,215.12987012987,226.649350649351,128.233766233766,340.948051948052,71.4285714285714,332.012195121951,349.585365853659,195.84756097561,543.475609756098,111.323170731707,433.508515815085,447.652068126521,268.0900243309,729.459854014599,141.038929440389
"355",2021-02-18,141.032967032967,137.263736263736,78.5824175824176,199.483516483516,41.4065934065934,212.974025974026,222.142857142857,127.220779220779,335.961038961039,70.6493506493506,325.94512195122,342.353658536585,193.756097560976,534.621951219512,109.396341463415,423.892944038929,435.289537712895,262.099756690998,713.034063260341,137.245742092457
