"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"326",2021-01-20,60.6058526464235,59.4238167740848,39.8594718981574,102.022730310456,21.099526061028,78.0622541164661,82.0554246239395,52.3230018364939,136.861562290801,30.1537075868076,149.211392572271,176.905825098082,93.489478000927,269.424978191252,58.6260308044922
"327",2021-01-21,59.4452216330295,57.3352204146805,39.0509202836502,99.0128495448949,20.4068615911413,75.3883862124158,78.9897918417136,51.115846745152,132.362465933409,29.6153103058237,147.441004827349,175.053617885915,92.7869651387197,266.963854749216,58.519556533571
"328",2021-01-22,59.3109970831717,56.9134210885271,37.5810374391128,95.1515107604709,19.5793258310903,72.8049464237368,75.5217270905991,49.5516157613017,126.815437227356,28.88549214854,146.11442122043,174.043070674552,91.9715398735544,265.028871036808,58.3361424586424
"329",2021-01-23,57.2900296735828,56.6081045434309,38.0190001841185,94.066346266877,18.8851131847283,69.5116079824785,73.3589859478685,47.7692980165442,120.077209393949,29.3993182136435,144.326057729685,173.498101167277,91.1475216585633,262.802353309841,58.6074801371607
"330",2021-01-24,54.9807011595887,55.1707293317752,36.0036022503305,90.6942115021681,18.5074140549132,67.1118452056964,70.1092789569449,46.0745855322414,115.219874021371,27.8652241779893,143.146050922859,173.436039070439,89.9749696527531,260.863195328158,58.1384038189554
"331",2021-01-25,52.8421233487073,53.5743350402037,34.1993329613313,88.8682979188867,18.1328258966991,64.1454946554093,67.7312040020798,45.1656418299498,111.827022266183,27.3394492786475,142.559545861591,173.048394935115,88.7902999783322,257.821324530573,57.6063166471096
"332",2021-01-26,51.9247291759909,52.7109986150898,32.7007262916284,88.0471429121922,18.5394174665765,62.5359753113868,66.8995012441005,43.3610565469794,108.944215199904,26.9906867979377,142.057311968575,172.700991211394,88.155873464549,255.074796829978,57.7318068048716
"333",2021-01-27,50.5452705502701,50.2304626198087,32.4844578221647,86.4592064212944,18.8081764134644,61.5472604123204,66.4953528916097,41.5385296963288,104.434226490761,26.6176824639955,140.856611299267,173.274046998741,87.1529674120148,254.121629772712,57.8291196627517
"334",2021-01-28,50.0327330354839,49.3221806087282,31.3128468044667,83.9666451634219,18.6828129573681,59.5960549169901,66.5318996987507,39.6313646914129,101.759205199823,26.1214057120434,139.903428956942,173.816908419737,86.2414906368531,253.346491194751,57.5883782970044
"335",2021-01-29,48.1894957433671,47.9659710107072,30.6008169825578,79.8784662784658,18.9997368402828,57.5415371261748,66.7518236107742,37.2481837081718,98.0340146395056,26.3977478807641,139.013186380081,174.844427917227,85.8869857251669,252.141556045649,57.6599657099686
"336",2021-01-30,46.6770219165705,43.4387427879767,30.0351356747393,76.324046014346,18.4858729845252,55.8228883204673,69.7830463805266,35.2912313450227,96.421220711563,25.5543606488831,139.160150482647,175.832744465579,85.4639524892602,251.289428729112,57.8484173116874
"337",2021-01-31,45.2010785269555,40.3713311026525,29.1693224981315,74.2765062115875,18.1020544414163,54.9981951380761,72.1790767796294,35.3428700912906,94.0472514015333,25.7634390725353,138.774805726754,177.579156418944,84.7511965721737,251.174885791942,57.6519341996001
"338",2021-02-01,44.0947559240325,40.2381659621807,27.8362960000069,72.7312862528912,16.8812766104937,55.1393190207192,74.4702018711302,35.2273146401236,92.500269545419,26.4918404361872,138.266597987479,178.091695584006,84.2103261057537,250.527617147558,57.6896441025441
"339",2021-02-02,42.7951442923143,39.3420179324854,27.7236248531825,69.1463981346823,16.9381226822809,56.4562172788482,78.7604075330188,35.1213285767392,91.9950746459013,27.7672109860481,138.490211293873,178.694799392998,84.5522397436919,250.366320695113,57.6463889516902
"340",2021-02-03,40.9380935071481,37.5711907583457,27.9101683979155,65.5449797848775,15.8414014531543,57.1504016180516,81.7438056613452,34.7667077408083,92.7897553516069,28.2897014513171,139.036966212955,179.706568732684,85.1886798529388,251.95584524464,57.7399695928333
"341",2021-02-04,39.6276103241162,37.7829243839065,27.2896958575943,65.615885081282,15.9674669249697,57.6005415597174,85.7361436247328,34.5785433459331,94.3991922920431,29.1428387799325,138.395783602793,179.665534024373,85.4218294507488,252.73196693068,58.0334590997857
"342",2021-02-05,38.5952636342855,36.3950460227762,26.2320295631123,63.2130524496326,15.7740094776186,58.7396678666556,89.5360039131566,34.9254802848166,99.4498092172514,29.7979071916593,139.182195576151,180.620737814681,85.4125390987419,253.271487374625,58.0193545561667
"343",2021-02-06,36.3417717647338,34.2341112780805,25.9841778780857,62.1781915143887,15.3100457216822,60.1884769633127,93.534355817519,35.9936219252741,102.01155998574,30.2389990427628,139.474799827249,181.415782300824,85.6897706685683,253.244611975871,58.1958223449786
"344",2021-02-07,34.86757089331,33.8783762155154,25.3485206668949,59.0527518410446,14.0864296399052,62.5562323806465,96.5806238871776,37.6510542747725,105.113387322426,30.9538417351268,139.804077441268,182.485649714045,86.0533275073457,253.473875112813,57.8931885601484
"345",2021-02-08,32.6918950200199,34.3709088474541,23.235627277954,58.6648052498259,13.9872933407432,64.6882543162909,100.104381743923,38.1961224189799,109.773012753599,31.855110918078,140.327472784174,182.921826856405,86.4338907003017,254.331233486262,58.2013978119635
"346",2021-02-09,31.006289684514,35.5325203159022,22.4347804758594,55.812582586725,13.6647127668312,66.5313260174991,103.06633167819,39.930940909971,116.333450516641,32.4334679138442,141.580552962484,184.207914726135,86.9655887401074,254.641500636418,58.4740770174697
"347",2021-02-10,28.910378759193,36.5861995839961,20.945748375267,53.1349931777543,12.5993799450608,68.6407111646029,106.407290126711,40.9981274471083,121.389373942098,33.6479959990669,141.771197625345,185.041658917521,88.1101444697346,256.076257067909,58.8951986928115
"348",2021-02-11,27.3468005441222,35.8370967016024,19.2862645424146,51.0469391834613,12.3166300179879,71.4124703688968,111.269228494313,41.8484770263768,127.907246162995,34.6411187628637,142.909318473549,185.788792299064,88.3718389439707,258.039366713109,59.2072292415687
"349",2021-02-12,27.3995894129821,37.9205666492472,17.6734086978149,49.9399576992212,11.8362789760972,73.5270179231013,113.763722196856,42.6812222358082,133.303433898721,35.4781551526645,143.398849469114,186.282715466736,89.6463926484434,259.633053445671,59.4435215766987
"350",2021-02-13,24.9905482132746,39.0751759433019,16.5374574829385,49.9398388063077,11.4240699840293,76.4105642271114,116.369664605489,43.7916224211632,137.824037873545,36.3784246381066,145.18867611958,187.313424426126,90.4917933077655,261.839756104409,59.8367654511337
"351",2021-02-14,25.6607555422673,40.6035712715027,16.2565179235899,48.4891482705151,11.7887393303949,79.2312320735297,118.402507485768,44.9661800150186,142.55939972017,37.327003210765,146.138920039027,188.568307427547,90.9650580924985,263.067292655419,60.3037678819595
"352",2021-02-15,25.0808193646061,43.5643130899593,15.5463822158083,47.6135419287412,12.039284654829,81.6979489508166,120.694931444169,46.5719479064259,147.067217643663,37.8519607694866,147.075369158635,188.776667023382,91.4828749077338,264.635065078693,60.8017335393004
"353",2021-02-16,25.6676352631091,44.7358636889912,16.0076348971358,46.3214583103771,12.976878476737,83.8774749405393,122.86638274981,48.4779044499551,151.194950121147,38.9069044968643,148.030093938424,189.938359901147,91.5454621947091,266.257637117104,60.8988630753927
"354",2021-02-17,24.8686047055318,45.6562974845749,15.1574239236092,47.7841762511399,14.1350406791067,86.9544728960079,125.278869627349,49.5846380097142,155.218074531877,39.6642528895588,149.154118830201,190.764179266836,91.8817776286877,267.762416241632,60.8718922982711
"355",2021-02-18,25.062908350788,49.0119819533958,15.102462547545,49.4899989896949,13.5821344051662,88.3190766986277,126.225652429585,51.0265312708759,159.955690648033,40.6653394521714,150.061523050867,191.853300877101,92.1835483299433,269.70535828033,60.9254159043185
"356",2021-02-19,27.140560053175,49.2454058770968,15.6163175877029,50.5091823335124,14.1643037245041,90.7781252634069,126.308247249469,52.267305455953,164.329735205931,41.4135722857332,150.535991562514,191.618669821658,92.6432111245829,271.532063398206,61.0423144404694
"357",2021-02-20,29.0942326759102,52.1886901061906,16.3642140049561,50.1469777254821,14.969448052617,92.1717885209419,127.469286849016,52.8946462211241,166.293479246845,41.1212113593252,151.138368391352,191.877670805212,92.7362731912272,271.724456443946,60.9456770538903
"358",2021-02-21,30.4581269942851,53.7575808607493,17.4970711834867,53.8611873244547,15.3475568088214,93.0573376183225,128.68264544506,53.2749015858116,169.214669730361,41.3918639979059,151.934965945356,191.576268672138,92.9792811240176,272.496932730269,61.0045314103399
"359",2021-02-22,30.917541541979,55.3274287763312,17.3564829386601,54.3736551557829,15.4728794993046,94.5506906900136,128.043711761536,53.4935068085078,171.31322030445,41.8002288759654,152.337450041417,191.076339765009,93.472383472191,272.704167928428,60.5807625317422
"360",2021-02-23,31.8246759606441,56.0636914589113,18.8483421021585,57.3002999555849,15.4086826172778,95.1460150220802,127.706574514747,54.3981388312478,172.617976790013,41.9224089813948,152.049924855104,190.272163970474,93.3519967630794,273.367473419709,60.5230682779023
"361",2021-02-24,32.7916814908903,57.4789037386762,20.2840916730328,60.6121635894974,15.8665528707404,95.4528437605227,127.849586668767,54.7130395320101,173.046455308653,41.649196345224,152.170216111039,189.229001105844,93.2102139137908,273.314880313334,60.4669488490546
