"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"361",2021-02-24,165.4,166.425,103.45,246.1,51.9,267.480916030534,267.274809160305,167.93893129771,427.916030534351,86.6793893129771,343.207058823529,347.703529411765,214.32,563.385882352941,108.84
"362",2021-02-25,162.675,163.625,101.2,240.275,51.05,260.595419847328,258.809160305344,164.206106870229,414.190839694656,84.0763358778626,333.661176470588,336.207058823529,208.689411764706,545.512941176471,105.489411764706
"363",2021-02-26,159.4,158.575,99.5,236.325,49.4,254.022900763359,250.679389312977,159.541984732824,401.412213740458,81.3129770992367,323.414117647059,324.209411764706,202.569411764706,528.348235294118,101.611764705882
"364",2021-02-27,156.825,156.625,97.5,231.25,48.425,248.129770992366,241.63358778626,156.419847328244,389.435114503817,78.3358778625955,313.491764705882,312.696470588235,196.414117647059,511.632941176471,97.8988235294118
"365",2021-02-28,154.65,152.8,95.85,226.925,47.175,240.465648854962,233.175572519084,152.160305343511,375.549618320611,75.5114503816794,304.110588235294,301.487058823529,190.6,493.428235294118,94.3176470588235
"366",2021-03-01,152.45,149.425,93.9,223.2,45.9,232.93893129771,224.717557251908,147.69465648855,362.954198473282,72.8244274809161,294.663529411765,290.256470588235,184.903529411765,476.308235294118,90.44
"367",2021-03-02,150.775,146.4,92.2,217.45,44.625,226.63358778626,217.053435114504,143.190839694656,350.152671755725,69.793893129771,285.232941176471,278.978823529412,179.070588235294,459.458823529412,87.0917647058824
"368",2021-03-03,147.3,141.475,89.9,212.975,44,220.053435114504,208.206106870229,139.312977099237,338.748091603053,67.1068702290077,275.992941176471,268.112941176471,173.148235294118,442.527058823529,83.4611764705882
"369",2021-03-04,145.475,138.35,88.975,210.075,42.875,213.36641221374,200.770992366412,134.839694656489,328.480916030534,64.7328244274809,267.141176470588,257.08,167.28,426.054117647059,80.2941176470588
"370",2021-03-05,144.25,138.125,88.15,204.7,41.825,207.786259541985,194.396946564885,131.198473282443,317.076335877863,62.1908396946565,257.931764705882,246.898823529412,161.437647058824,410.148235294118,77.0494117647059
"371",2021-03-06,141.3,134.725,87.425,201.775,41.55,202.297709923664,186.984732824427,127.870229007634,305.450381679389,59.9083969465649,249,236.701176470588,155.835294117647,394.952941176471,73.6376470588235
"372",2021-03-07,139.6,131.525,86.575,197.85,40.975,196.702290076336,180.740458015267,123.93893129771,295.389312977099,57.7099236641222,240.849411764706,226.896470588235,150.745882352941,380,70.8376470588235
"373",2021-03-08,137.275,130.675,84.4,193.35,39.875,191.213740458015,174.137404580153,120.129770992366,286.36641221374,55.6106870229008,233.437647058824,217.329411764706,145.567058823529,365.362352941176,68.2117647058824
"374",2021-03-09,135.375,127.925,82.85,189.7,39.15,186.30534351145,167.480916030534,116.045801526718,276.259541984733,53.9312977099237,225.672941176471,208.324705882353,140.967058823529,351.117647058824,65.4423529411765
"375",2021-03-10,133.625,124.875,81.475,185.45,38.7,181.068702290076,161.106870229008,113.068702290076,264.603053435114,52.2213740458016,218.176470588235,198.623529411765,136.402352941177,337.456470588235,62.7435294117647
"376",2021-03-11,131.2,121.3,79.95,183.35,38.175,175.496183206107,155.702290076336,109.450381679389,254.160305343511,50.4274809160306,210.708235294118,189.562352941176,131.938823529412,324.056470588235,60.3458823529412
"377",2021-03-12,128.525,119.65,78.35,178.05,37.05,170.419847328244,149.488549618321,106.969465648855,244.625954198473,49.0839694656489,203.724705882353,181.188235294118,128.082352941177,311.207058823529,57.6211764705882
"378",2021-03-13,125.825,116.3,76.575,173.875,36.7,165.18320610687,144,103.404580152672,234.534351145038,47.3893129770993,196.712941176471,173.336470588235,123.694117647059,298.207058823529,55.0305882352941
"379",2021-03-14,123.65,111.975,74.9,168.2,35.625,160.076335877863,137.343511450382,99.824427480916,225.412213740458,45.6793893129771,190.110588235294,165.089411764706,119.216470588235,285.8,52.9035294117647
"380",2021-03-15,120.85,107.95,73.25,165.35,34.975,154.412213740458,130.854961832061,96.4351145038168,216.572519083969,43.8015267175573,183.209411764706,157.277647058824,115.082352941177,273.444705882353,50.3835294117647
"381",2021-03-16,118.15,105.125,71.325,161.375,34.125,149.381679389313,125.328244274809,93.175572519084,208.091603053435,41.7022900763359,176.423529411765,149.291764705882,110.804705882353,261.4,48.12
"382",2021-03-17,115.95,101.475,70.175,155.1,33.2,144.267175572519,119.81679389313,90.6946564885496,198.137404580153,39.9160305343512,170.397647058823,141.736470588235,106.941176470588,248.931764705882,45.6376470588235
"383",2021-03-18,113.175,98.15,68.7,149.025,32.65,138.93893129771,113.854961832061,87.9312977099237,189.519083969466,38.3282442748092,163.767058823529,134.247058823529,102.788235294118,237.103529411765,43.3505882352941
"384",2021-03-19,110.675,94.55,67.75,142.525,32.2,134.496183206107,109.175572519084,85.4427480916031,181.137404580153,36.5496183206107,157.482352941176,127.070588235294,98.7058823529412,225.369411764706,40.9764705882353
"385",2021-03-20,107.575,91.175,65.55,139.1,31.35,130.412213740458,103.854961832061,82.381679389313,172.870229007634,34.7480916030535,151.075294117647,120.374117647059,94.7929411764706,213.941176470588,38.88
"386",2021-03-21,104.9,87.475,64.225,132.6,29.65,125.832061068702,99.0916030534351,79.9389312977099,164.541984732824,33.1221374045802,145.28,113.981176470588,90.9176470588236,203.527058823529,36.8611764705882
"387",2021-03-22,101.9,83.925,63.025,127.7,27.625,120.81679389313,94.5496183206107,77.381679389313,156.152671755725,31.7099236641222,139.557647058824,107.682352941176,87.5011764705883,192.635294117647,34.8964705882353
"388",2021-03-23,98.775,79.175,61.4,122.225,27.125,116.473282442748,90.0839694656489,74.7786259541985,149.053435114504,29.9312977099237,133.790588235294,101.595294117647,84.08,182.696470588235,33.004705882353
"389",2021-03-24,95.075,75.4,60.925,116.025,25.8,112.763358778626,85.6564885496183,72.0229007633588,141.81679389313,28.6106870229008,127.96,95.6682352941176,80.8541176470589,172.861176470588,31.2117647058824
"390",2021-03-25,92.55,72.2,59.2,109.425,24.5,109.442748091603,81.2519083969466,69.5801526717557,134.160305343511,27.1297709923665,122.818823529412,89.6658823529411,77.8,163.232941176471,29.5011764705882
"391",2021-03-26,89.25,68.85,57.875,103.775,23.025,106.358778625954,77.2290076335878,66.9923664122138,128.129770992366,25.9312977099237,117.877647058823,84.5858823529411,74.7364705882353,154.305882352941,27.7858823529412
"392",2021-03-27,86.375,66.125,56.025,98.025,22.45,102.496183206107,72.9618320610687,64.4580152671756,121.763358778626,24.8702290076336,112.844705882353,79.7270588235294,71.6188235294118,146.2,26.4211764705883
"393",2021-03-28,84.45,63.15,54.5,94.55,21.85,98.9160305343511,69.412213740458,62.1068702290076,115.610687022901,23.6488549618321,108.265882352941,74.5482352941176,68.9929411764706,138.164705882353,25.0870588235294
"394",2021-03-29,81.975,60.375,53.2,90.525,20.675,95.4656488549618,66.1679389312977,59.8473282442748,109.251908396947,22.3587786259542,103.92,69.8776470588235,66.28,129.969411764706,23.7152941176471
"395",2021-03-30,79.325,56.85,52.125,85.95,19.975,92.2900763358778,62.3740458015267,58.0076335877863,102.916030534351,21.4198473282443,99.7223529411764,65.4094117647059,63.8564705882353,122.277647058824,22.4
