"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"470",2021-06-13,0,0,0,0,0,1.80359565503785,3.08716107240557,1.01512367693919,3.19018218873095,0.437984375199421,1.67483139677177,2.81488873952719,1.00422911955762,3.36265342583557,0.454428421548893
"471",2021-06-14,0,0,0,0,0,1.78145762861745,3.13711668224594,1.01512367693919,3.29111228620582,0.433168273560645,1.67615642051115,2.83743243749877,1.00502818910698,3.31648373429776,0.447764149484987
"472",2021-06-15,0,0,0,0,0,1.70172516556858,3.13789673151858,0.992072769238762,3.24589990730813,0.42816194388947,1.67755960501369,2.83411349595574,1.01993961419733,3.27521129036583,0.451531802709545
"473",2021-06-16,0,0,0,0,0,0,0,0,0,0,1.63796481028232,2.84964782623468,1.02487808372762,3.2735915114875,0.439477512995905
"474",2021-06-17,0,0,0,0,0,0,0,0,0,0,1.66208940086585,2.81464287839007,1.0094364456053,3.28153563512077,0.425485678118237
"475",2021-06-18,0,0,0,0,0,0,0,0,0,0,1.63601338392678,2.85198018987864,0.982183148411856,3.27212490349665,0.444799243234525
"476",2021-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"477",2021-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"478",2021-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"479",2021-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"480",2021-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481",2021-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"482",2021-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"483",2021-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484",2021-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"485",2021-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486",2021-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"487",2021-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
