"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"440",2021-05-14,17.8877052748529,23.5944824058507,10.2590642848166,33.4273002200297,7.25261332210673,16.679007696511,19.6134311379029,10.6899855996809,29.4789497615808,6.5180930446426,19.6435465066009,23.1325166672017,11.7772690989107,35.1235930314271,6.97374854033876,8.09917049189091,9.99586651390305,4.9824347856414,13.9588913945303,2.43129460685204
"441",2021-05-15,17.4498252140244,23.1226382577767,10.1078979021357,32.0103795666343,6.8330081223426,16.2159125462834,19.0681106437702,10.0948521937181,28.6309395412403,6.25748770509434,18.6300359717354,22.0459932752503,11.3646101539767,33.7329978319721,6.66086174558222,7.63566035097171,9.45126103308287,4.72041463664087,13.1671626528329,2.33457256713522
"442",2021-05-16,16.8965795355155,22.9738982325595,9.80375438288822,31.5930435380955,6.85650056515713,15.5908839485987,18.4866442179963,9.51312640614167,27.4697285618396,6.02456194815918,17.5057152865892,20.8545821856699,10.9498946386436,31.9097518169155,6.3303536789546,7.14083150905189,9.09813372046082,4.44675710319282,12.4051419522502,2.24823499655843
"443",2021-05-17,16.9486754644721,21.8844693789911,9.51438910282736,30.4010591920742,6.7496962894637,15.0097754399241,17.8169910531902,9.16618713377941,26.7346519004043,5.91105452014987,16.6373402546682,19.7631983417534,10.2949096295139,30.3709897369304,6.04250373719123,6.72455157439521,8.8208605121568,4.10902511705121,11.7045042003322,2.14377124946663
"444",2021-05-18,16.3346992626127,21.4840312790686,9.40544523135402,30.1495538938804,6.76,14.6119119873423,17.2739111849947,8.88740701717804,25.4878833180061,5.80676572069303,16.0162874042232,18.7537661085533,9.73762507389099,28.9940942402144,5.59453582232652,6.33122852268807,8.61263177388131,3.85950556672443,11.1822582152341,2.01841095401411
"445",2021-05-19,15.672600294782,20.863067847275,9.37462532584636,30.4538733168705,6.452317413147,14.1241230367002,16.7816590989349,8.5587843272163,24.5188516073111,5.28474373738523,15.1298934039555,17.8290542094939,9.17178195644627,27.3204371333725,5.33830605052783,5.9649262295781,8.35609304036283,3.63334091171721,10.716495279989,1.92963715818732
"446",2021-05-20,15.1779313478484,19.8002525236422,9.18479177771603,28.6711074079813,6.20583596302706,13.3388722993979,16.3821309347733,7.97251760480358,23.2660277002997,5.09674348878121,14.4008767787758,17.0492787147402,8.52578906351914,25.6274418323563,5.08829385443471,5.76439326678961,8.12484712368037,3.44851747530719,10.2197888272028,1.84668506544712
"447",2021-05-21,14.7062027729798,19.1756199378273,9.44645965428319,28.0729692052693,5.84123274660409,12.7566595301294,15.9765335643007,7.59890496903782,22.4142941937104,4.69833199145906,13.5393842306315,16.160708932044,8.02219419026033,24.4425190688246,4.84009477382172,5.41430894083155,7.98316637928838,3.23640111453743,9.73130851822965,1.75570246308884
"448",2021-05-22,13.8579074899496,19.1732000458974,9.18137244642651,26.1790832536206,5.79175275715392,12.2367778354595,15.3633794898143,7.30988781143829,21.2060419422528,4.45818014413661,12.7727264568483,15.4720169000193,7.6082401867419,22.8480279071356,4.50826361253835,5.1678307192838,7.65674713404361,3.09752735062197,9.22633342307392,1.71033936199747
"449",2021-05-23,13.3193993858582,18.3965648967409,8.97839629332544,25.6917418638753,5.79392785595403,11.8216903689377,14.8197604299388,7.05336870880854,20.125205477031,4.15195762011028,12.0494743612765,14.9997018842378,7.07242954998611,21.34391770463,4.27896797626444,4.91291102550583,7.5285277977133,2.95159808462032,9.00277099991365,1.58016416895201
