"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"376",2021-03-11,2.42693221990232,2.43721152139079,1.22065556157337,4.05709255502016,1.15758369027902,13.3359476603652,16.8281757775464,8.62829647149424,23.4360299538979,7.13074329926411,19.5615170486734,28.0440570496223,12.9652378956187,34.955198643528,9.67888046332424,66.9938123891864,82.3137285724503,42.6236380530103,121.332002513699,26.2817040221633
"377",2021-03-12,2.29074223779106,2.44744765010408,1.07121426428143,4.21781934179263,1.1,13.9623601156824,16.6206949313198,8.54341851953889,22.9148423516288,7.13372273080472,19.6289045987696,29.3653491574431,13.0958270403612,35.718895646042,10.2869161909093,66.5180309201949,81.5320262118989,42.1658625067424,120.600296447794,26.2660618643027
"378",2021-03-13,2.17887585695009,2.5588083163848,1.10792599030802,3.49141805001922,1.14455231422596,13.1609270190211,14.8871588961763,8.33006602614889,22.0555548558634,6.02992537267253,20.4790786213564,31.6882101290006,12.7081435929976,35.7826083695473,10.8373053813515,66.4431662094568,80.6712620689903,41.6638771852714,119.40790587662,26.1621297154876
"379",2021-03-14,1.93067345763078,2.59759504157211,1.28840987267251,2.9912372022292,1.25996031683542,12.3526312986343,13.8270568090248,8.79829528942965,22.6072997060684,5.77581163127746,20.9738880051393,32.9950998149268,13.0541239036418,35.240443937171,10.8877550430079,66.4313844896736,79.5333043041107,40.8352116574458,118.712608987903,25.6680457335058
"380",2021-03-15,1.90984292547843,2.75454170416786,1.46543508897528,2.90301567339896,1.19478031453485,12.602678286777,12.9213002441705,8.89606654651369,21.6847296501478,6.47996913572896,21.3061893285426,34.5373746384056,13.4582752040432,37.1373502640736,11.012229764656,65.7959635971964,78.2831898462243,40.2183355089243,117.411402768215,25.6206122386717
"381",2021-03-16,1.91049731745428,2.66270539113887,1.39552857369529,2.87880183409696,1.47986485869487,12.6343777052928,13.0087470572688,9.06352580401248,20.0605957040164,6.18465843842649,22.5593334426625,35.2123871457872,13.1380373226505,39.0165453279483,11.4633817909484,65.1152110293552,77.3769874132635,39.8102936664818,116.424427848722,25.1180680614503
"382",2021-03-17,1.80208212909401,2.5743931323712,1.2031209415516,2.86530975637888,1.54596248337403,13.279307210845,13.6,9.81465740614516,20.1382720212038,6.1595454377738,23.3991722503755,36.8730303930986,13.6486506767125,40.690225416486,11.623140440087,64.4958816514667,76.2697231111543,39.4527813645307,114.373029514703,24.7263462051164
"383",2021-03-18,1.88148877222268,2.71799558498538,1.18743420870379,3.48425027803687,1.37477270848675,12.0759057631301,14.3159875663539,9.40996811896831,19.9226002318974,6.34113554499508,25.2944525112991,39.1078316526325,14.1939340586166,44.6213915863863,11.7921674267298,63.1982691612325,74.7746447504673,39.0632966715635,113.055640641497,24.0903827773325
"384",2021-03-19,1.85472369909914,2.84604989415154,1.16619037896906,3.18237332819391,1.43090880212542,12.5099960031968,14.1053181460044,9.33488082409197,20.2051973511767,5.552251795443,27.0927191713708,40.3397309825884,14.2833970783832,48.1829681785646,12.0473460128512,62.4237433964355,73.4341013799679,38.3313159135332,110.898158118154,23.6959084757519
"385",2021-03-20,2.00686322403895,3.12209865314983,1.23592070943083,3.33878720495931,1.51657508881031,12.8463029701156,13.508885964431,9.682329265213,21.0344360513896,4.95454336947412,27.735498688813,41.9642051399946,15.3064377644518,49.774832502152,12.6851716680112,61.1881083535178,72.2787973636795,37.9440377398083,109.250632138027,23.2910620577367
"386",2021-03-21,2.06094638455249,3.01496268633627,1.20830459735946,3.3555923471125,1.5644487847162,13.0399386501624,13.8,9.81631295344642,21.442014830701,5.19519008314422,28.5887123158649,43.5922661179128,16.0561536049923,51.871160426104,12.6862665124414,60.3404080509073,70.960358957202,37.1790956889755,107.085490077128,22.9295181398132
