"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"331",2021-01-25,4.5,6.55405405405405,2.43243243243243,8.33783783783784,1.66891891891892,11.4017595307918,16.0439882697947,6.28445747800586,21.0058651026393,4.53958944281525,19.90625,27.221875,11.7125,36.753125,7.61875,30.7,42.2857142857143,18.3285714285714,58.9714285714286,12.3357142857143
"332",2021-01-26,4.21621621621622,7.02702702702703,2.49324324324324,8.69594594594595,1.75,11.4868035190616,16.7712609970674,6.80938416422287,21.4428152492669,4.57184750733138,20.725,27.515625,11.7375,37.959375,8.09375,32.0214285714286,43.0357142857143,19.4428571428571,60.7571428571429,12.35
"333",2021-01-27,4.26351351351351,6.88513513513514,2.60810810810811,8.09459459459459,1.77027027027027,11.9853372434018,16.7683284457478,6.86217008797654,21.8035190615836,4.66275659824047,20.215625,28.76875,12.075,37.98125,8.18125,33.7642857142857,43.1071428571429,19.2785714285714,59.75,12.8357142857143
"334",2021-01-28,4.50675675675676,7.22297297297297,2.45945945945946,9.03378378378378,1.77027027027027,12.0821114369501,17.4340175953079,7.24926686217009,22.1114369501466,4.81524926686217,21.015625,29.134375,12.63125,39.571875,8.215625,33.45,43.4428571428571,19.6428571428571,60.7071428571429,12.7
"335",2021-01-29,4.83108108108108,6.97972972972973,2.66891891891892,8.65540540540541,1.87162162162162,12.5923753665689,17.4838709677419,7.17008797653959,22.7976539589443,4.74193548387097,21.65,29.6,12.809375,39.91875,8.075,33.3928571428571,44.7785714285714,20.3571428571429,62.4857142857143,13.3357142857143
"336",2021-01-30,4.7972972972973,7.80405405405405,2.63513513513514,9.51351351351351,1.66891891891892,12.9824046920821,17.8181818181818,7.18181818181818,23.41642228739,5.17888563049853,21.890625,29.946875,12.709375,41.0125,8.365625,34.4214285714286,44.6642857142857,19.8571428571429,62.1428571428571,13.7428571428571
"337",2021-01-31,4.68918918918919,6.75,2.90540540540541,9.52702702702703,2.10135135135135,12.4780058651026,17.8885630498534,7.49266862170088,23.5307917888563,5.17302052785924,22.453125,30.05625,13.296875,40.453125,9.053125,34.4071428571429,46.0857142857143,21.0285714285714,64.4357142857143,13.4642857142857
"338",2021-02-01,4.76351351351351,7.38513513513514,2.81081081081081,9.02027027027027,1.95945945945946,12.9736070381232,18.5395894428152,7.54545454545455,23.9120234604106,5.19354838709677,22.65,30.234375,13.19375,41.68125,8.88125,35.6142857142857,46.7071428571429,21.8714285714286,66.0571428571429,13.15
"339",2021-02-02,5.09459459459459,7.60810810810811,2.69594594594595,9.80405405405405,2.2027027027027,13.208211143695,18.4428152492669,7.67155425219941,24.7184750733138,5.34017595307918,23.10625,30.98125,13.546875,42.303125,9.25,36,46.4,21.2214285714286,66.1642857142857,13.9142857142857
"340",2021-02-03,5.16216216216216,7.85135135135135,2.89864864864865,10.2432432432432,1.95945945945946,13.5689149560117,18.8445747800587,7.68328445747801,25.4428152492669,5.68035190615836,23.05625,31.671875,13.628125,43.90625,9.15,37.4785714285714,46.7785714285714,20.6357142857143,65.8,14.0857142857143
"341",2021-02-04,5.37837837837838,8.27027027027027,2.93243243243243,9.97297297297297,2.19594594594595,13.7155425219941,18.9970674486804,8.03812316715543,25.6656891495601,5.32258064516129,23.859375,31.509375,14.121875,44.090625,9.275,37.8285714285714,47.0142857142857,21.8285714285714,68.1714285714286,14.65
"342",2021-02-05,5.68243243243243,8.34459459459459,2.7972972972973,10.5810810810811,2.02027027027027,14.1671554252199,20.0234604105572,8.22287390029325,25.7595307917889,5.35483870967742,24.26875,31.525,14.384375,43.890625,9.553125,37.35,48.4928571428571,22.9642857142857,67.95,14.0071428571429
"343",2021-02-06,5.11486486486486,8.43243243243243,3.09459459459459,10.2094594594595,2.15540540540541,13.9472140762463,19.6686217008798,8.05278592375367,26.6451612903226,5.42521994134897,24.765625,32.596875,14.69375,45.5625,9.48125,38.7214285714286,47.8714285714286,22.7714285714286,68.8928571428571,15.0285714285714
"344",2021-02-07,5.47297297297297,8.68243243243243,3.02702702702703,10.4864864864865,2.14864864864865,14.6715542521994,19.5161290322581,8.56598240469208,26.9061583577713,5.60410557184751,24.4,32.60625,14.70625,45.875,9.6375,39.2642857142857,48.6857142857143,23.3642857142857,69.8571428571429,14.8928571428571
"345",2021-02-08,5.57432432432432,8.53378378378378,3.2972972972973,11.3175675675676,2.31756756756757,14.741935483871,19.9472140762463,8.21700879765396,26.8357771260997,6.01173020527859,24.553125,32.959375,14.9375,46.3625,9.78125,39.2,49.0357142857143,23.3857142857143,70.5571428571429,15.4285714285714
"346",2021-02-09,5.73648648648649,8.40540540540541,2.97972972972973,10.5202702702703,2.35135135135135,14.4222873900293,20.1173020527859,8.51612903225806,27.0879765395894,5.63636363636364,25.1125,32.08125,14.90625,46.071875,9.5,38.5071428571429,48.25,23.8,70.8571428571429,14.0357142857143
"347",2021-02-10,5.80405405405405,8.57432432432432,3.16891891891892,11.1351351351351,2.32432432432432,15.2756598240469,20.1378299120235,8.82404692082111,27.3577712609971,5.90615835777126,25.325,32.38125,15.140625,46.35625,9.5625,39.3,47.7642857142857,24.2,71.4857142857143,14.7428571428571
