"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"312",2021-01-06,10.5,15.5357142857143,6.64285714285714,20.9642857142857,4.53571428571429,18.7477477477477,23.972972972973,11.4684684684685,33.6036036036036,7.24324324324324,28,39,14.3333333333333,54,11.6666666666667
"313",2021-01-07,11.8928571428571,15.6785714285714,7.21428571428571,22,4.75,19.0810810810811,23.5135135135135,11.1531531531532,34.4144144144144,7.10810810810811,28.6666666666667,36.6666666666667,20.3333333333333,59.6666666666667,12.6666666666667
"314",2021-01-08,12,15.4285714285714,7.17857142857143,21.4285714285714,4.39285714285714,18.2702702702703,24.6396396396396,11.1531531531532,34.6756756756757,7.99099099099099,28.3333333333333,39.6666666666667,21.3333333333333,56.3333333333333,13
"315",2021-01-09,12.2857142857143,15,7.5,21.7857142857143,5,18.9009009009009,24.5765765765766,10.8018018018018,34.8558558558559,7.51351351351351,30,32.3333333333333,17,54.3333333333333,10
"316",2021-01-10,12.1785714285714,15.2142857142857,7.42857142857143,22.3214285714286,4.28571428571429,18.963963963964,23.4774774774775,11.5225225225225,33.2792792792793,7.66666666666667,31.3333333333333,33,17,52.3333333333333,11.3333333333333
"317",2021-01-11,11.6428571428571,15.4285714285714,7.39285714285714,19.5714285714286,4.82142857142857,18.6216216216216,23.954954954955,11.3063063063063,34.7297297297297,7.07207207207207,25,37,20.3333333333333,55.3333333333333,14.3333333333333
"318",2021-01-12,11.8214285714286,14.6428571428571,6.96428571428571,20.4285714285714,4,18.5675675675676,24.045045045045,11.1441441441441,32.972972972973,6.98198198198198,33,29.6666666666667,17.3333333333333,49.3333333333333,12.6666666666667
"319",2021-01-13,11.75,15.5357142857143,6.75,20.7142857142857,4.5,18.4774774774775,23.2882882882883,11.0990990990991,34.5405405405405,7.10810810810811,25,35.6666666666667,22.3333333333333,52.6666666666667,13
"320",2021-01-14,11.3571428571429,14.4642857142857,6.25,19.5357142857143,4.07142857142857,18.4234234234234,23.018018018018,11.2522522522523,34.0990990990991,6.96396396396396,30,38,17.3333333333333,51.6666666666667,15
"321",2021-01-15,11.2142857142857,13.75,7.03571428571429,20.9285714285714,5,18.7747747747748,23.7837837837838,11.5765765765766,34.3333333333333,6.93693693693694,33.3333333333333,37.3333333333333,18,67.6666666666667,7.66666666666667
