"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"394",2021-03-29,50.0714285714286,56.0357142857143,32.8214285714286,93.75,16.1428571428571,72.1801801801802,78.6036036036036,44.1981981981982,134.657657657658,21.9369369369369,47.3333333333333,43,29.3333333333333,81,15.6666666666667
"395",2021-03-30,48.9642857142857,55.1785714285714,31.5,91.2857142857143,15.8214285714286,70.2432432432432,75.981981981982,43.1261261261261,131.333333333333,21.5315315315315,42.3333333333333,40,28,73.3333333333333,14.3333333333333
"396",2021-03-31,48.25,53.5357142857143,29.8571428571429,89.6428571428571,15.1785714285714,68.2792792792793,73.6486486486486,41.7567567567568,126.90990990991,21.0990990990991,39.6666666666667,38.3333333333333,27.6666666666667,71,15
"397",2021-04-01,47.8928571428571,53.4285714285714,29.4642857142857,88.5714285714286,14.3214285714286,66.1711711711712,71.1891891891892,41,122.792792792793,20.4864864864865,36.6666666666667,38,25,68.3333333333333,13
"398",2021-04-02,46.9285714285714,51.6785714285714,29.2857142857143,84.9285714285714,14.3928571428571,64.0810810810811,69.3423423423423,39.3423423423423,118.945945945946,19.6936936936937,32,34.6666666666667,25.6666666666667,65,11.6666666666667
"399",2021-04-03,45.1785714285714,50.7142857142857,28.5714285714286,82.2857142857143,13.8928571428571,62.4144144144144,67.4954954954955,38.5585585585586,114.945945945946,19.0990990990991,32.3333333333333,31,25.3333333333333,66,11.3333333333333
"400",2021-04-04,43.4642857142857,48.3928571428571,27.3928571428571,80.6071428571429,13.4285714285714,60.2432432432432,65.3603603603604,37.8288288288288,111.171171171171,18.7837837837838,30.6666666666667,31.6666666666667,23.6666666666667,63.3333333333333,11.3333333333333
"401",2021-04-05,41.6071428571429,46.6785714285714,26.7142857142857,79,12.8928571428571,58.2252252252252,63.5585585585586,36.9279279279279,107.252252252252,18.1711711711712,29.3333333333333,30.3333333333333,23.6666666666667,63.3333333333333,10
"402",2021-04-06,40,45.4642857142857,25.1071428571429,76.1785714285714,12.0357142857143,56.3423423423423,61.2432432432432,36,103.468468468468,17.3153153153153,28.3333333333333,29,22.3333333333333,60,8.66666666666667
"403",2021-04-07,38.9285714285714,42.8928571428571,24.2857142857143,72.5714285714286,11.2857142857143,54.6846846846847,59.6756756756757,34.8648648648649,100.126126126126,16.7297297297297,26.3333333333333,28,23,59,7.66666666666667
"404",2021-04-08,37.6071428571429,41.3928571428571,23.25,71.0357142857143,10.9642857142857,53.1261261261261,57.6576576576577,33.5585585585586,96.7027027027027,15.9459459459459,26.3333333333333,28.3333333333333,22,56.3333333333333,8.66666666666667
"405",2021-04-09,37.2142857142857,39.2142857142857,22.8571428571429,68.75,10,51.7387387387387,55.8468468468468,32.1441441441441,93.5135135135135,15.5495495495495,25.3333333333333,27.3333333333333,20.6666666666667,53,8.33333333333333
