patienttype,scenario,hospital,date,admitted,admitted_std,active,active_std
icu,moderate,SMH,2021-06-11,0.03870967741935479,0.1115214990262293,0.267741935483871,0.5587353789812181
icu,moderate,SMH,2021-06-12,0.0338709677419356,0.10647360476647112,0.248387096774194,0.538439182621299
icu,moderate,SMH,2021-06-13,0.029032258064516127,0.0950162919378084,0.22903225806451605,0.484397562916472
icu,moderate,SMH,2021-06-14,0.02419354838709678,0.08516678867880752,0.190322580645161,0.43910086923289204
icu,moderate,SMH,2021-06-15,0.01935483870967743,0.07754022822197461,0.164516129032258,0.3959866298629
icu,moderate,SMH,2021-06-16,0.03,0.09623559800084731,0.158064516129032,0.39860579082952396
icu,moderate,SMH,2021-06-17,0.029032258064516127,0.10377876091706668,0.158064516129032,0.4221864696937921
icu,moderate,SMH,2021-06-18,0.01741935483870969,0.07015962178216201,0.148387096774194,0.40629797403442
icu,moderate,SMH,2021-06-19,0.009677419354838698,0.0530054087908224,0.11935483870967699,0.370630983192707
icu,moderate,SMH,2021-06-20,0.020322580645161296,0.08273486104448309,0.12580645161290302,0.393878761382301
icu,moderate,SMH,2021-06-21,0.009677419354838698,0.05822558305738589,0.11612903225806501,0.375969091208606
icu,moderate,SMH,2021-06-22,0.00774193548387096,0.04756724797720441,0.0967741935483871,0.326747284183241
icu,moderate,SMH,2021-06-23,0.01354838709677418,0.06229733008812059,0.0935483870967742,0.322725773805013
icu,moderate,SMH,2021-06-24,0.00870967741935483,0.0503690852116377,0.0870967741935484,0.314429268402774
icu,moderate,SMH,2021-06-25,0.01064516129032257,0.0605051575445442,0.0741935483870968,0.30740090659874797
icu,moderate,SMH,2021-06-26,0.00774193548387096,0.04756724797720441,0.0741935483870968,0.30740090659874797
icu,moderate,SMH,2021-06-27,0.01064516129032257,0.0605051575445442,0.0483870967741935,0.24279417506688603
icu,moderate,SMH,2021-06-28,0.01064516129032257,0.055499810163637496,0.0451612903225806,0.22265076034499898
icu,moderate,SMH,2021-06-29,0.005806451612903219,0.04133062549173421,0.0516129032258065,0.23537337221876997
icu,moderate,SMH,2021-06-30,0.002903225806451613,0.0293690146557939,0.0516129032258065,0.23537337221876997
icu,moderate,SMH,2021-07-01,0.0019354838709677428,0.024018723185788796,0.0516129032258065,0.23537337221876997
icu,optimistic,BMC,2021-01-21,1.1341935483870957,0.590509753510164,10.1698113207547,1.8799810701551003
icu,optimistic,BMC,2021-01-22,1.234838709677418,0.519005693099124,10.392238776253,2.25759442111273
icu,optimistic,BMC,2021-01-23,1.232903225806452,0.5838813044887889,10.4090805371439,2.31456726930127
icu,optimistic,BMC,2021-01-24,1.3654838709677428,0.7628906771115541,10.3467984057215,2.52323232239078
icu,optimistic,BMC,2021-01-25,1.0393548387096778,0.468834763407975,10.333422278020901,2.39529759577396
icu,optimistic,BMC,2021-01-26,1.14774193548387,0.5427332837349059,10.521779673131,2.18489993389258
icu,optimistic,BMC,2021-01-27,1.0809677419354828,0.57836730621198,10.645575686159,2.50315097992587
icu,optimistic,BMC,2021-01-28,1.195161290322582,0.66972007136223,11.004929264382401,2.5035687327460696
icu,optimistic,BMC,2021-01-29,1.1941935483870958,0.6725242492020839,10.9595238814795,2.62670389672727
icu,optimistic,BMC,2021-01-30,1.244516129032257,0.6809520787917629,10.538070763738402,2.63494486532228
icu,optimistic,BMC,2021-01-31,1.174838709677418,0.630626268176694,10.0714285714286,2.7217492233024196
icu,optimistic,BMC,2021-02-01,1.216451612903226,0.705019095541422,9.786142547318619,2.7806919388326503
icu,optimistic,BMC,2021-02-02,1.107096774193548,0.6010324104211769,9.239330934301538,2.66739085726705
icu,optimistic,BMC,2021-02-03,1.0596774193548388,0.628633868879985,9.18139987703072,2.74747826863626
icu,optimistic,BMC,2021-02-04,1.075161290322582,0.6193616431077841,9.12184020633684,2.84666041991417
icu,optimistic,BMC,2021-02-05,1.084838709677418,0.62820466650423,9.27114414800051,2.70523637602264
icu,optimistic,BMC,2021-02-06,1.1341935483870957,0.6031571463426301,9.203617690211699,2.6583933401369504
icu,optimistic,BMC,2021-02-07,1.108064516129031,0.643853917286685,9.075799252066039,2.5565182651329503
icu,optimistic,BMC,2021-02-08,1.020967741935483,0.596748473726496,8.74149191843416,2.6277574585920696
icu,optimistic,BMC,2021-02-09,1.083870967741935,0.6383430032531789,8.865419473000118,2.6934788478564604
icu,optimistic,BMC,2021-02-10,1.018064516129031,0.5990283495625259,8.71874727668846,2.6784082899628903
icu,optimistic,BMC,2021-02-11,1.0809677419354828,0.616749307771671,8.604563147829209,2.60548728567952
icu,optimistic,BMC,2021-02-12,1.033548387096774,0.5952800825585789,8.52215642561557,2.55707176766199
icu,optimistic,BMC,2021-02-13,1.004516129032257,0.582911705313477,8.38913879879208,2.59273177643121
icu,optimistic,BMC,2021-02-14,1.0064516129032257,0.630430208396367,8.46823834234655,2.7016181993207598
icu,optimistic,BMC,2021-02-15,1.018064516129031,0.597086579094225,8.51337261160583,2.67183443940527
icu,optimistic,BMC,2021-02-16,0.9522580645161299,0.590389208297097,8.49838557394098,2.77080813690332
icu,optimistic,BMC,2021-02-17,0.991935483870969,0.586762134334929,8.52976238980804,2.82640478272976
icu,optimistic,BMC,2021-02-18,0.971612903225805,0.565201059139896,8.46681172568787,2.79453346261469
icu,optimistic,BMC,2021-02-19,0.985161290322582,0.578573724455745,8.3744297697594,2.87394010685212
icu,optimistic,BMC,2021-02-20,0.8922580645161301,0.574740949653978,8.04283796917666,2.7924083198497005
icu,optimistic,BMC,2021-02-21,0.9087096774193559,0.5601453839822941,7.81917058482107,2.6925727419818504
icu,optimistic,BMC,2021-02-22,0.9667741935483869,0.567074479359174,7.69680309302507,2.65877691674727
icu,optimistic,BMC,2021-02-23,0.9203225806451609,0.620826628289526,7.53904126031508,2.5672555869447997
icu,optimistic,BMC,2021-02-24,0.96,0.613777305417171,7.47670156054266,2.62739113630661
icu,optimistic,BMC,2021-02-25,1.067419354838709,0.6168100441733521,7.519017609550519,2.6646489071033304
icu,optimistic,BMC,2021-02-26,0.944516129032257,0.595915336645677,7.428387881737441,2.75542979229567
icu,optimistic,BMC,2021-02-27,0.9841935483870958,0.613063561371051,7.4537278932792495,2.81318436002626
icu,optimistic,BMC,2021-02-28,0.980322580645161,0.620639544606066,7.58231727235607,3.0780025821856802
icu,optimistic,BMC,2021-03-01,1.0006451612903222,0.6253769726816459,7.52351781073231,3.1230888016275196
icu,optimistic,BMC,2021-03-02,1.0248387096774179,0.635099031991896,7.452223075094779,3.06822186809263
icu,optimistic,BMC,2021-03-03,1.043225806451613,0.662402212365666,7.3898615293862,3.11436535944188
icu,optimistic,BMC,2021-03-04,1.05,0.70449020689638,7.3662112316087605,3.10555877699613
icu,optimistic,BMC,2021-03-05,1.0964516129032258,0.724114802816991,7.434221550970781,3.27097569509754
icu,optimistic,BMC,2021-03-06,1.0983870967741949,0.687794965576383,7.3488700908599105,3.3137386263347404
icu,optimistic,BMC,2021-03-07,1.113870967741935,0.683138758961778,7.40107201079941,3.3753544539657403
icu,optimistic,BMC,2021-03-08,1.086774193548387,0.687669683912805,7.574954737433081,3.4526618846174504
icu,optimistic,BMC,2021-03-09,1.123548387096774,0.6778954548148889,7.72969097286055,3.4453425106379103
icu,optimistic,BMC,2021-03-10,1.1274193548387088,0.7334341131520019,7.80204284583416,3.5089731859874904
icu,optimistic,BMC,2021-03-11,1.0954838709677428,0.708368587806846,7.73391497357192,3.47520427386035
icu,optimistic,BMC,2021-03-12,1.13225806451613,0.705456656849325,7.88177793235371,3.59468911065885
icu,optimistic,BMC,2021-03-13,1.148709677419356,0.707869324260438,7.9003560815408305,3.5486348887087598
icu,optimistic,BMC,2021-03-14,1.14,0.7312031622716971,7.94055588937149,3.6319271607707995
icu,optimistic,BMC,2021-03-15,1.183548387096774,0.731296014321093,8.001850628319731,3.6084376204049597
icu,optimistic,BMC,2021-03-16,1.195161290322582,0.7286814028700459,8.13687651931667,3.7888384191038003
icu,optimistic,BMC,2021-03-17,1.288064516129031,0.803953615075215,8.29393111545475,3.90098042587226
icu,optimistic,BMC,2021-03-18,1.1874193548387089,0.713693110797339,8.15279261739486,3.8420167375823198
icu,optimistic,BMC,2021-03-19,1.246451612903226,0.728212785222777,8.13340325629612,3.8731123091665296
icu,optimistic,BMC,2021-03-20,1.279354838709678,0.8204009070466949,8.2637733380303,3.80438571603601
icu,optimistic,BMC,2021-03-21,1.242580645161291,0.7450004015670509,8.36661357624705,3.96214659233435
icu,optimistic,BMC,2021-03-22,1.305483870967743,0.8137144569698819,8.444074650656509,4.08234186325074
icu,optimistic,BMC,2021-03-23,1.2570967741935481,0.783374394684723,8.46918129087764,4.05609598902891
icu,optimistic,BMC,2021-03-24,1.281290322580644,0.7166937616380269,8.43881826770881,4.0367007783309
icu,optimistic,BMC,2021-03-25,1.3635483870967742,0.8507266282689089,8.53213556706314,4.36083696822932
icu,optimistic,BMC,2021-03-26,1.354838709677418,0.7847903807561399,8.57774145978891,4.44988395597504
icu,optimistic,BMC,2021-03-27,1.315161290322582,0.7488027905575171,8.57352213156057,4.460072606885321
icu,optimistic,BMC,2021-03-28,1.301612903225805,0.7503745162731869,8.59322122333862,4.427325047470821
icu,optimistic,BMC,2021-03-29,1.316129032258065,0.8081427429780541,8.535276845075671,4.42181353785747
icu,optimistic,BMC,2021-03-30,1.2387096774193558,0.7358021382685319,8.489312900301229,4.34855460575225
icu,optimistic,BMC,2021-03-31,1.2522580645161299,0.709641934596729,8.40390833093449,4.42031541244213
icu,optimistic,BMC,2021-04-01,1.259032258064517,0.7618096233214859,8.35220321226995,4.44238876034312
icu,optimistic,BMC,2021-04-02,1.315161290322582,0.8163228763801499,8.31357252618502,4.6461199727567
