"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"320",2021-01-14,7.25585497280284,10.4969671106779,4.06208939633009,13.0787685655844,3.13420524145617,12.0681222549303,18.5297188351507,7.3930416251959,23.2990249682659,5.59832303913235,27.5407113070457,40.2027061871582,16.658291074147,52.8298144241303,12.3870506735964,107.10025603961,149.835774683485,60.7438834369354,196.661263343852,43.858720270318
"321",2021-01-15,7.40561714700148,10.4543579866208,4.03549010923735,13.2382671395454,3.2112106159267,12.549066934748,18.6359494287549,7.41510595314027,23.6546421519345,5.63653177031809,27.6673427715434,41.2924902391309,17.2531325557511,54.9827632392242,13.4207524849963,109.818656628781,153.651488257517,63.4351526659312,204.321933477539,45.2260831130665
"322",2021-01-16,7.19461796089226,10.2604723962908,4.15022218642039,13.1096674007725,3.25131362786323,12.625864948844,18.59323814727,7.82707043216481,23.7718259396455,5.90708811397651,28.8818286089257,43.0946846390642,17.9644908855806,57.3088681205516,14.0014287109866,113.597796523524,157.362062117113,67.0850206827128,211.869592851358,46.9747272477446
"323",2021-01-17,7.06783430986032,10.0783987893802,4.20806158231671,13.3883650809891,3.23323125796664,12.9116544104895,18.9416746101562,8.11187211041955,24.0917741199546,6.16215355929566,30.3691667308119,45.0923518605064,18.7930786112409,60.481298823984,14.869374720566,116.664516349231,161.485988169253,70.3030538099164,220.303432437513,49.4127766878163
"324",2021-01-18,7.138483457972,10.3289815300531,4.33432597016727,13.3911053154714,3.33079246669055,13.0628525707041,19.5884154162229,8.35381741673223,24.9956563441894,6.50044843868314,31.5191697333253,46.54723250907,19.3944043703443,63.5096005614436,14.9492548345086,121.378045147176,165.026967019787,72.735994141484,228.328195805949,51.7626177250533
"325",2021-01-19,7.31540528313714,10.6276401395862,4.38049322685023,13.7697797171455,3.4237480935774,13.8658574471067,19.716324539852,8.35304253646013,26.3274723904354,7.09413966301052,32.9050786335639,48.1349805584369,19.2816872245368,65.5484254102691,15.6070357766836,126.266691965855,171.424865101303,74.5412595479846,233.979192117056,53.5933764564242
"326",2021-01-20,7.30635704439703,10.8146109788514,4.49855928037184,13.7730131661212,3.50644809426343,14.4276344492945,20.3649550882785,8.89340163225481,27.6369066849224,7.47304254526909,34.8881274880048,49.5515282910485,19.8805961258723,66.8216536965112,16.1709570303987,128.422133508987,174.253109280007,77.5550117255487,241.58569390591,54.7947020705469
"327",2021-01-21,7.46956259151425,10.9274364329002,4.46396210819652,14.1755802233332,3.59664614953405,14.7760023996201,20.6865756852179,9.37056708181752,28.3477496004076,7.6595679696365,35.8893136134954,51.3785336305444,20.2968745670891,68.766104057318,16.9713032454464,130.67480569624,176.009246472309,80.9296752974458,247.672197357212,55.4163432008104
"328",2021-01-22,7.72726010087362,11.2505585884873,4.69021398334768,14.0940308103122,3.57027669550926,15.5260605512611,21.2981641692933,9.36474633596126,29.513492008951,7.97829596136844,36.5456288264092,52.3261476580581,20.8053962992667,71.4856620660619,17.1256336808555,136.14523265616,177.44968256875,82.6383073625664,250.906057806004,56.3112777336832
"329",2021-01-23,8.12875650257425,11.8623512723555,4.98420909126774,14.4446534670582,3.6829439051773,15.8957590042435,21.6231975310721,9.96060484278034,30.2060766150104,8.21501915886514,37.3393704309016,53.8269032601232,21.4660752231243,74.0389626834475,17.4736650663415,137.442701129416,177.834174425924,84.6848339063731,255.610430819538,58.7838200528002
"330",2021-01-24,8.29066820035788,11.9549414107935,4.9659423932464,14.5406269909122,3.7098731155297,16.9265616016461,22.6827946586257,10.5308148979206,31.3207224425138,8.11163430580491,38.2728102076366,54.8130292330768,22.2860807056405,75.1703716298494,17.9013299649822,140.213038244487,177.963547882705,85.5811749159825,257.548827591488,59.0352529743881
"331",2021-01-25,8.37808089954493,12.0700894218824,4.9622956552202,14.7520439548042,3.74258469930913,17.865320242093,23.5810102245404,10.53842013965,32.236761034613,8.08576180058179,39.8747742371541,57.6027455410998,23.2900522074618,77.8305065214768,18.2111393893523,140.764403681293,178.923621973176,86.4956790828305,258.599613302108,60.2316310172653
"332",2021-01-26,8.42255920172221,12.0161405521624,4.94301532172124,14.599273282034,3.69546130734261,17.8322948814992,24.0255975604028,10.5834062406354,32.4975307703961,8.01578090295792,41.535362613227,58.2859280196859,23.9730570806931,79.5680009534532,18.737629272232,140.299926496773,179.431916057317,88.5283005597645,260.138750237253,61.0982188263291
"333",2021-01-27,8.60833456653018,12.2749823752362,4.9805952168994,14.7323290777901,3.67152741613413,18.2743791166421,24.3501742134418,10.8631711601319,32.9934355091146,8.43796453783957,42.4429998838839,59.5092212371714,25.1051210495973,80.9296409338234,19.1306133939317,141.378082968153,178.501239053823,89.6067240780512,261.2829165866,60.7173973729935
"334",2021-01-28,8.79484052331931,12.5237797057586,5.10024720347529,14.9433641658227,3.7378289792893,19.0332897306225,24.7277130121111,10.9339424451426,34.0057323397334,8.72302819269089,43.3011259372785,61.0662752769861,25.8515645723578,81.8703433676749,20.0678059392932,141.531197422158,178.410404685377,90.5393250195737,260.431128131796,59.8810683250558
"335",2021-01-29,8.80705796171641,12.75286592547,5.27186585416531,15.2073010712783,3.73319720709684,19.6862652572935,25.9331140828799,11.0917848899037,34.575869341793,9.01060570046006,43.8529124438011,63.3530094569909,26.731362379829,84.1017803536617,20.775251974081,141.603795853077,177.437153927102,90.6029792211603,259.193494022805,57.2297111975065
"336",2021-01-30,8.88382638994324,12.7217642904072,5.04778303490003,15.5739942687661,3.63390570781565,20.313360881831,26.5603639300889,11.1809341627484,34.7825143206919,9.08866457358497,45.0768017358078,65.3117780053681,27.6507844988661,85.7983989289692,22.0579552732973,141.125409100381,174.509282972998,90.4714734046042,256.491775879364,56.6378848475117
"337",2021-01-31,9.00606593986889,12.7645762770386,5.09751542855648,15.9895695696883,3.65882865214119,20.9632983221441,26.8934798651877,11.8403734926076,35.5011833493532,9.25008341637396,46.1821346386873,66.350689817532,28.3895969459435,86.4883860874917,22.0819144520025,141.629852079284,173.680950308317,89.1483656257926,253.719190247801,56.0747492192341
"338",2021-02-01,9.00630035541083,12.9685414293896,5.13879763530779,16.4445775455337,3.67975349641322,21.7096183161944,28.0982562224684,12.286988193824,36.5352994180495,9.1432735550871,47.4009895177051,66.5830931891255,29.4794037741074,89.3576655104912,22.1613418898879,140.96790193161,170.627825526055,88.1123563624875,251.13716247302,55.1579493364284
"339",2021-02-02,9.15674639342912,13.1341209212492,5.24327255706497,16.5275627076206,3.57500415543108,22.0125973255109,28.164022996689,12.5838851976115,37.4746233295278,9.67990791712146,47.8403691673695,67.6780749744163,29.7873611252802,90.896077836679,21.8586428603836,139.814296479294,165.337302487219,87.8591166299776,247.076051045017,53.279006184425
"340",2021-02-03,9.0246762534605,13.307329022108,5.30837493280083,16.9607778462214,3.65827149435153,21.9068516882648,29.2530466915968,12.812630273017,37.6402213786277,10.3152428596603,48.7866154687888,68.7594772008742,31.0433027375351,91.6615131138346,22.5941121188469,138.632481200294,161.541759306998,86.0033574926002,244.370250593234,52.4644165125278
"341",2021-02-04,9.2319397839525,13.426605178269,5.27152521912246,17.1781500696829,3.61610580788402,22.4596173961234,29.417438990083,13.221197698662,38.4618216988621,10.532182537282,49.6897992061922,69.3280659311831,30.3375419001364,90.7830901253461,22.6956855017121,134.422500325466,158.414170373108,84.3426197126933,242.110369653491,50.8671661659071
"342",2021-02-05,9.28980453746438,13.7180346356659,5.39880352684405,17.6598450009628,3.68985576282956,22.8728068877555,30.3872624093592,13.5108140145617,39.9483548627653,10.3870690622381,50.5162065159435,70.0813541018038,31.3178828441796,92.7507878972581,22.326907069678,131.381110110053,155.344322695585,84.4153783012906,238.356153882693,49.9880985835629
"343",2021-02-06,9.19295504614953,13.7240689724167,5.45154855875522,18.0004664508521,3.77433781682233,22.5810611129693,31.2255336322261,13.7596455755547,40.4805866781252,10.3503899782729,52.3517665966887,70.2890702089506,32.4691703863836,93.0872982323959,22.4572599550276,128.876876804957,150.135209373917,83.1763149881022,233.925169659017,48.2146745685377
