"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"470",2021-06-13,12.0443349753695,4.77339901477834,3.88669950738916,9.69950738916256,4.83743842364532,15.1851851851852,9.75925925925928,6.2037037037037,17.0277777777777,6.30555555555556,15.5121951219513,5.68292682926829,6.26829268292683,12.4634146341463,5.79268292682926,10.2125,-1.05,1.9125,0.462500000000002,3.9
"471",2021-06-14,11.9261083743843,4.52216748768474,3.88177339901478,9.70443349753695,4.80788177339902,14.9814814814815,8.88888888888891,6.00925925925926,16.6666666666666,6.20370370370371,15.109756097561,4.73170731707316,5.9390243902439,11.7682926829268,5.69512195121951,10.075,-0.987499999999999,1.825,0.737500000000001,3.8625
"472",2021-06-15,11.6995073891626,4.24630541871923,3.77339901477832,9.69950738916256,4.82266009852217,14.7037037037037,8.3240740740741,5.83333333333333,16.1759259259259,6.02777777777778,14.609756097561,4.30487804878048,5.60975609756098,11.5121951219512,5.51219512195122,9.8375,-1.025,1.7375,0.887500000000001,3.825
"473",2021-06-16,11.6108374384237,3.84236453201972,3.77339901477832,9.69458128078818,4.80295566502463,14.6203703703704,7.76851851851854,5.64814814814814,15.6851851851851,5.95370370370371,14.3536585365854,4.09756097560975,5.41463414634146,10.7682926829268,5.3780487804878,9.675,-1.125,1.75,0.837500000000002,3.7875
"474",2021-06-17,11.5320197044335,3.48275862068967,3.71428571428571,9.69458128078818,4.75862068965517,14.3425925925926,7.25925925925928,5.29629629629629,15.1759259259259,5.78703703703704,13.9878048780488,3.82926829268292,5.21951219512195,10.2439024390243,5.25609756097561,9.6125,-1.075,1.7875,1.0125,3.7625
"475",2021-06-18,11.4334975369459,3.33990147783253,3.61576354679803,9.72906403940887,4.73891625615764,14.0648148148148,6.72222222222224,5.14814814814814,14.9259259259259,5.66666666666667,13.7439024390244,3.59756097560975,4.87804878048781,9.7195121951219,5.13414634146341,9.3875,-0.749999999999998,1.7375,1.275,3.7
"476",2021-06-19,11.2364532019705,3.11822660098524,3.49261083743842,9.66009852216749,4.67487684729064,13.787037037037,6.15740740740743,4.94444444444444,14.2777777777777,5.48148148148148,13.2439024390244,2.95121951219511,4.75609756097561,9.46341463414629,5.01219512195122,9.5625,-0.649999999999999,1.6625,1.4375,3.675
"477",2021-06-20,11.1822660098523,2.97044334975371,3.39901477832512,9.70443349753695,4.60098522167488,13.3703703703704,5.79629629629632,4.76851851851851,13.6574074074074,5.47222222222222,12.9512195121952,2.96341463414633,4.54878048780488,9.15853658536581,4.8170731707317,9.6875,-0.612499999999999,1.65,1.475,3.6875
"478",2021-06-21,11.0492610837439,2.90147783251233,3.38423645320197,9.42857142857143,4.55172413793104,13.3055555555556,5.38888888888891,4.62037037037037,13.037037037037,5.39814814814815,12.5731707317074,2.85365853658536,4.30487804878049,8.81707317073166,4.69512195121951,9.7,-0.712499999999999,1.6625,1.2625,3.625
"479",2021-06-22,11.0443349753695,2.8177339901478,3.36453201970443,9.26600985221675,4.53694581280788,13.0740740740741,5.13888888888891,4.46296296296296,12.5462962962963,5.32407407407408,12.2926829268293,2.40243902439024,4.24390243902439,8.15853658536581,4.65853658536585,9.55,-0.774999999999999,1.4875,1.0875,3.6125
"480",2021-06-23,10.9211822660099,2.96059113300494,3.30541871921182,9.18226600985222,4.53694581280788,12.712962962963,4.75000000000002,4.37037037037037,11.8888888888888,5.2962962962963,12.219512195122,2.19512195121951,4.14634146341464,7.93902439024385,4.57317073170731,9.4625,-0.837499999999999,1.4625,0.737500000000001,3.5875
"481",2021-06-24,10.9211822660099,2.98522167487686,3.3743842364532,8.83251231527094,4.53694581280788,12.6296296296296,4.72222222222224,4.38888888888888,11.324074074074,5.21296296296297,11.7560975609756,2.21951219512194,3.98780487804878,7.56097560975605,4.52439024390243,9.5375,-0.737499999999999,1.4625,0.675000000000001,3.55
"482",2021-06-25,10.8620689655173,2.74384236453203,3.35467980295566,8.49753694581281,4.53694581280788,12.4814814814815,4.55555555555558,4.16666666666666,10.6203703703703,5.16666666666667,11.6951219512195,1.90243902439024,3.81707317073171,7.04878048780483,4.40243902439024,9.7,-1.1125,1.4625,0.450000000000001,3.575
"483",2021-06-26,10.832512315271,2.73891625615765,3.38916256157635,8.32019704433498,4.51724137931035,12.1666666666667,4.42592592592595,4.03703703703703,10.2314814814814,5.11111111111111,11.4878048780488,1.59756097560975,3.73170731707317,6.70731707317069,4.36585365853658,9.625,-1.1,1.4125,0.175000000000001,3.5875
"484",2021-06-27,10.8275862068966,2.7241379310345,3.33497536945813,8.16256157635468,4.48275862068966,12.1111111111111,4.39814814814817,3.98148148148148,9.78703703703699,5.08333333333334,11.3048780487805,1.28048780487804,3.75609756097561,6.31707317073166,4.32926829268292,9.65,-1.4125,1.6125,-0.0249999999999986,3.575
"485",2021-06-28,10.6847290640394,2.59113300492612,3.31527093596059,8.08374384236453,4.47783251231527,12.0555555555556,4.38888888888891,4.03703703703703,9.73148148148144,5.06481481481482,11.2073170731708,1.03658536585365,3.68292682926829,5.87804878048776,4.30487804878048,9.5875,-1.3625,1.6,-0.237499999999999,3.575
"486",2021-06-29,10.704433497537,2.43349753694583,3.29556650246305,7.9064039408867,4.45812807881774,11.9537037037037,4.33333333333336,3.94444444444444,9.26851851851847,5.01851851851852,11.219512195122,0.56097560975609,3.63414634146342,5.51219512195117,4.18292682926829,9.5375,-1.525,1.6375,-0.312499999999998,3.6
"487",2021-06-30,10.64039408867,2.45320197044336,3.15763546798029,7.66502463054187,4.48275862068966,11.8888888888889,4.00925925925928,3.86111111111111,9.04629629629625,5.00925925925926,11.3658536585366,0.585365853658528,3.58536585365854,5.42682926829264,4.13414634146341,9.475,-1.7125,1.6625,-0.437499999999998,3.5375
