"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"355",2021-02-18,13.2210420263367,11.8283042830866,5.47437977170241,18.767821615271,5.19703637680352,41.780737250685,53.0554452882292,23.4852063250465,71.3612515608938,16.6089993502274,88.1586588583564,121.538615697648,51.3366621351459,156.874235526404,36.1896957761221,190.555378430344,242.867360651835,112.377765810914,344.131131461074,75.3328138854407
"356",2021-02-19,13.489500603197,11.8542974434718,5.41463414634146,18.8985936699679,5.29399767814,42.6713003783479,54.2411854879918,23.6849181508806,72.6383209406293,16.8108918210394,89.8773082079225,123.055870674986,52.5818156728565,159.520201802795,37.0178302337962,191.99087718386,243.615280082168,113.114642126789,346.361045655376,75.6475419982316
"357",2021-02-20,13.4151929195436,11.9619871628068,5.48433626324093,18.985241506231,5.40466261885669,43.229353763114,55.1417807091908,23.9053964757709,73.8997004988506,16.9882006434913,91.0029414384721,124.703413076442,53.2246068828773,161.769931959194,37.9199912573376,193.832466382364,244.055655199098,113.478313993865,348.10894540874,75.5714885901291
"358",2021-02-21,13.4328414582851,11.9120814517304,5.57938274443428,18.8984258488365,5.43260498839687,44.0971186332632,55.817132311918,23.9119683001779,74.9679412172434,17.025727834804,91.9148839206682,125.614916753702,53.7211110645356,163.689109159231,38.4872671820321,195.953400556447,243.91334572149,114.490040322581,350.130519456546,75.7919805885481
"359",2021-02-22,13.4420764799199,11.9549950026601,5.52119103219381,19.0783075501539,5.3785249126874,44.386156426697,56.9528365655307,24.0864577090575,76.0456037432781,17.2539594940257,93.3815342166229,126.67652815417,54.3891747972361,166.121569750316,38.5328330206379,197.86009806082,245.212588512982,114.865085241949,351.02375,76.0235603371783
"360",2021-02-23,13.3119526126508,12.0811121873567,5.54004609309063,19.0658324693271,5.28723502057014,44.7910510126065,58.0363901116002,24.2606437108034,76.6212701349762,17.5893841110414,94.3059326367961,128.159649371766,55.5504411556047,168.474939694452,39.0169101708512,197.954090901409,244.439277758851,115.514646984781,351.539173887448,76.269795464651
"361",2021-02-24,13.3489791492394,12.2625960231241,5.54084110086759,18.9436349494426,5.38924275403826,45.4522741268584,58.6562001884583,24.6049838901401,77.9529460032731,17.8124394027535,96.1233965359765,129.695711341265,56.3440785987425,170.823578754412,39.215493276645,197.207109549233,244.399774199046,115.726615120275,351.720563041961,76.775152884871
"362",2021-02-25,13.4486266191196,12.3714879854487,5.54908420589063,18.7920360576633,5.33498650610102,46.2529844249649,59.5707668345571,24.5393205705706,78.608324420436,18.3515041389057,97.7092278373092,131.409108910203,57.1247812454942,173.347665805371,39.7281760069509,197.503443881871,243.609031988085,115.515038538396,351.657051487855,76.3857847533632
"363",2021-02-26,13.5187157469393,12.5131698442794,5.60870581166338,18.8851864471382,5.38031544765734,47.1580192198645,60.1048282719192,24.9854770342575,80.0399086428657,18.6232053450048,98.3667454407634,131.869641663685,58.247128558935,175.623413102194,40.3100776146301,197.070111190452,242.925393048412,115.115635886015,351.42786803805,76.2188508425959
"364",2021-02-27,13.5899833810854,12.8301880748313,5.73646979617575,18.7865066513136,5.43984876301965,47.6468818346165,61.0926510217357,25.4862106628439,80.4866241658722,19.0948644520809,99.6239253200915,132.826064137687,59.2111804812359,178.300716043858,40.6624465947483,197.226462371819,241.0186760898,115.053383024251,349.339066499696,75.6006777447537
